name,cost_tier,calories_100g,protein_100g,carbs_100g,fat_100g,allergy_tags,disease_tags
Edamame,medium,127,11,15,6,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Pasta,high,307,15,71,2,gluten,high_glycemic;low_glycemic
Canned Kidney Beans,low,113,15,20,9,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Yogurt,low,398,21,10,30,dairy,high_protein
Organic Sausage,high,270,20,0,14,none,high_protein;high_iron
Kidney Beans,medium,109,10,20,5,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Shrimp,medium,191,28,1,8,shellfish,anti_inflammatory;omega_3;high_protein
Tomato,medium,50,5,10,0,none,anti_inflammatory;low_sodium;low_glycemic
Salmon,medium,185,20,0,2,shellfish,anti_inflammatory;omega_3;high_protein
Pasta,high,239,11,71,7,gluten,high_glycemic;low_glycemic
Canned Apple,low,67,0,21,3,none,anti_inflammatory;low_glycemic
Tilapia,medium,248,21,0,14,shellfish,anti_inflammatory;omega_3;high_protein
Pistachios,low,755,9,29,98,nuts,anti_inflammatory;high_protein
Cottage Cheese,high,167,22,9,13,dairy,high_protein
Cashews,medium,801,8,21,46,nuts,anti_inflammatory;high_protein
Millet,medium,257,5,32,2,gluten,high_glycemic;low_glycemic
Organic Avocado,high,85,0,14,0,none,anti_inflammatory;low_glycemic
Lime,medium,65,0,20,3,none,anti_inflammatory;low_glycemic
Pineapple,medium,89,1,21,2,none,anti_inflammatory;low_glycemic
Yogurt,high,147,10,5,2,dairy,high_protein
Pistachios,high,559,17,23,80,nuts,anti_inflammatory;high_protein
Organic Mango,high,67,2,12,2,none,anti_inflammatory;low_glycemic
Yogurt,low,60,11,5,9,dairy,high_protein
Canned Tofu,low,117,12,30,4,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Quinoa,high,347,6,56,5,none,diabetes_friendly;low_glycemic
Organic Pear,high,54,0,10,3,none,anti_inflammatory;low_glycemic
Couscous,low,183,7,68,7,gluten,high_glycemic;low_glycemic
Coconut Oil,high,835,22,16,86,nuts,anti_inflammatory;high_protein
Oats,high,165,8,40,6,none,diabetes_friendly;low_glycemic
Organic Apple,high,71,2,19,3,none,anti_inflammatory;low_glycemic
Canned Broccoli,low,24,3,5,1,none,anti_inflammatory;low_glycemic
Millet,medium,311,5,59,3,gluten,high_glycemic;low_glycemic
Organic Cucumber,high,50,4,3,1,none,anti_inflammatory;low_sodium;low_glycemic
Tofu,high,179,16,16,6,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Organic Pork Chop,high,279,24,2,25,none,high_protein;high_iron
Millet,medium,142,15,50,3,gluten,high_glycemic;low_glycemic
Tilapia,medium,173,21,1,12,shellfish,anti_inflammatory;omega_3;high_protein
Cucumber,medium,35,3,7,0,none,anti_inflammatory;low_sodium;low_glycemic
Canned Tuna,low,175,23,0,4,shellfish,anti_inflammatory;omega_3;high_protein
Pear,medium,48,0,12,0,none,anti_inflammatory;low_glycemic
Organic Apple,high,86,1,20,3,none,anti_inflammatory;low_glycemic
Cashews,low,849,14,19,70,nuts,anti_inflammatory;high_protein
Chickpeas,medium,164,11,19,9,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Oats,medium,307,12,72,5,none,diabetes_friendly;low_glycemic
Canned Mango,low,48,0,16,3,none,anti_inflammatory;low_glycemic
Sausage,medium,249,23,1,22,none,high_protein;high_iron
Trout,high,215,23,0,18,shellfish,anti_inflammatory;omega_3;high_protein
Bacon,low,289,28,2,14,none,high_protein;high_iron
Organic Cauliflower,high,21,4,11,0,none,anti_inflammatory;low_sodium;low_glycemic
Organic Cucumber,high,48,3,11,1,none,anti_inflammatory;low_sodium;low_glycemic
Tofu,high,155,14,25,6,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Mango,medium,83,1,25,1,none,anti_inflammatory;low_glycemic
Watermelon,medium,51,0,10,3,none,anti_inflammatory;low_glycemic
White Bread,medium,338,13,25,3,gluten,high_glycemic
Barley,high,295,15,37,6,gluten,high_glycemic;low_glycemic
Tofu,medium,100,15,17,9,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Yogurt,medium,222,5,3,33,dairy,high_protein
Organic Pineapple,high,62,2,12,2,none,anti_inflammatory;low_glycemic
Canned Kale,low,28,1,6,1,none,anti_inflammatory;low_glycemic
Olive Oil,high,785,8,16,56,nuts,anti_inflammatory;high_protein
White Rice,low,296,12,79,6,gluten,high_glycemic
Canned Pinto Beans,low,114,11,21,7,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Coconut Oil,low,695,19,14,92,nuts,anti_inflammatory;high_protein
White Rice,low,266,8,43,7,gluten,high_glycemic
Peanuts,high,623,5,21,92,nuts,anti_inflammatory;high_protein
Canned Cod,low,217,25,0,7,shellfish,anti_inflammatory;omega_3;high_protein
Pasta,high,266,15,60,3,gluten,high_glycemic;low_glycemic
Chicken Breast,medium,263,20,1,25,none,high_protein;high_iron
Trout,medium,234,24,0,10,shellfish,anti_inflammatory;omega_3;high_protein
Pinto Beans,high,149,18,16,2,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Peanuts,high,808,5,20,71,nuts,anti_inflammatory;high_protein
Greek Yogurt,high,279,9,9,3,dairy,high_protein
Walnuts,high,803,6,22,81,nuts,anti_inflammatory;high_protein
Shrimp,medium,182,28,0,10,shellfish,anti_inflammatory;omega_3;high_protein
Whole Wheat Bread,medium,257,8,52,5,gluten,high_glycemic;low_glycemic
Sausage,medium,132,30,2,10,none,high_protein;high_iron
Canned Grapes,low,84,0,17,1,none,anti_inflammatory;low_glycemic
Greek Yogurt,low,172,19,3,24,dairy,high_protein
Tuna,medium,204,18,0,17,shellfish,anti_inflammatory;omega_3;high_protein
Coconut Oil,low,680,6,29,72,nuts,anti_inflammatory;high_protein
Salmon,medium,229,21,1,5,shellfish,anti_inflammatory;omega_3;high_protein
Organic Celery,high,50,5,4,0,none,anti_inflammatory;low_sodium;low_glycemic
Canned Celery,low,28,4,6,0,none,anti_inflammatory;low_glycemic
Bacon,medium,131,16,1,7,none,high_protein;high_iron
Canned Kale,low,60,3,4,1,none,anti_inflammatory;low_glycemic
Mozzarella Cheese,low,47,8,5,21,dairy,high_protein
Couscous,medium,319,5,51,3,gluten,high_glycemic;low_glycemic
Peanuts,medium,723,22,30,76,nuts,anti_inflammatory;high_protein
Canned Kidney Beans,low,180,16,20,1,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Trout,high,114,20,1,10,shellfish,anti_inflammatory;omega_3;high_protein
Organic Bell Pepper,high,21,4,12,0,none,anti_inflammatory;low_sodium;low_glycemic
Butter,high,184,14,4,29,dairy,high_protein
Canned Cod,low,180,18,1,17,shellfish,anti_inflammatory;omega_3;high_protein
Shrimp,medium,171,26,0,6,shellfish,anti_inflammatory;omega_3;high_protein
Canned Tempeh,low,161,13,21,5,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Black Beans,medium,169,18,26,6,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Cashews,high,784,23,24,91,nuts,anti_inflammatory;high_protein
Canned Chickpeas,low,128,16,26,6,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Sardines,medium,240,24,0,16,shellfish,anti_inflammatory;omega_3;high_protein
Canned Salmon,low,188,30,0,20,shellfish,anti_inflammatory;omega_3;high_protein
Bell Pepper,medium,22,2,7,0,none,anti_inflammatory;low_sodium;low_glycemic
Shrimp,medium,221,26,1,3,shellfish,anti_inflammatory;omega_3;high_protein
Pinto Beans,medium,144,10,30,9,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Canned Tomato,low,43,2,12,0,none,anti_inflammatory;low_glycemic
Kale,medium,57,2,10,1,none,anti_inflammatory;low_sodium;low_glycemic
Canned Lemon,low,54,1,13,0,none,anti_inflammatory;low_glycemic
Greek Yogurt,medium,256,23,9,35,dairy,high_protein
Blueberries,medium,46,0,19,0,none,anti_inflammatory;low_glycemic
Canned Pinto Beans,low,139,10,15,7,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Pasta,medium,312,8,29,2,gluten,high_glycemic;low_glycemic
Bacon,low,171,19,2,5,none,high_protein;high_iron
Edamame,high,140,18,30,9,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Canned Trout,low,226,19,0,3,shellfish,anti_inflammatory;omega_3;high_protein
